x,lower_bound,upper_bound
0.0,-13.238714964780234,15.333126238081396
0.898876404494382,-13.124631001790755,15.386710423278192
1.797752808988764,-13.015045628603115,15.442227690310299
2.696629213483146,-12.909864693937337,15.48192528651539
3.595505617977528,-12.877342594197948,15.505152697222073
4.49438202247191,-12.82553606108564,15.509619306658196
5.393258426966292,-12.781289891278014,15.49540698637508
6.2921348314606735,-12.752839802118087,15.48384568659931
7.191011235955056,-12.70888833742857,15.462002432998155
8.089887640449438,-12.682620445710903,15.451372219311821
8.98876404494382,-12.648418572215418,15.408102953059098
9.887640449438202,-12.624673390651884,15.375122066987858
10.786516853932584,-12.61722612246598,15.316211332728537
11.685393258426966,-12.6016946732095,15.27597193785784
12.584269662921349,-12.60211093560578,15.213115466506355
13.48314606741573,-12.625856842308472,15.156038203680641
14.382022471910112,-12.640328816507722,15.053734115626323
15.280898876404494,-12.714549517094463,14.95827608682591
16.179775280898877,-12.75787301818455,14.850221978114584
17.078651685393258,-12.81404703075489,14.725446564746502
17.97752808988764,-12.87689926354689,14.576935940404407
18.876404494382022,-12.941202084034925,14.425249776797136
19.775280898876403,-13.059034576572936,14.284928680249822
20.674157303370787,-13.145687623776132,14.119364651257053
21.573033707865168,-13.284224918441321,13.95425505269215
22.47191011235955,-13.422921845589325,13.772735304772876
23.370786516853933,-13.546254872043345,13.586986366034658
24.269662921348317,-13.683586626344242,13.406065295507315
25.16853932584269,-13.809330458582592,13.234531160424307
26.06741573033708,-14.001963618850091,13.071233427360154
26.96629213483146,-14.151519404364194,12.878400273874757
27.865168539325843,-14.327227519135189,12.718696052180974
28.764044943820224,-14.532047352893482,12.554858828045639
29.662921348314605,-14.722500700900476,12.353655594198745
30.56179775280899,-14.908954350391113,12.17117901811256
31.46067415730337,-15.086437876736303,11.919792681777988
32.359550561797754,-15.285675635251062,11.72789272214055
33.258426966292134,-15.472873608399667,11.521108045902228
34.157303370786515,-15.661291543423614,11.2682043622585
35.056179775280896,-15.881683782331052,11.085776368261172
35.95505617977528,-16.09241900432218,10.869586706521662
36.853932584269664,-16.325521627406438,10.658610902269142
37.752808988764045,-16.52418409971392,10.439789445833547
38.651685393258425,-16.714088904840708,10.186176073176224
39.550561797752806,-16.925017386882455,9.924067173994727
40.44943820224719,-17.14934527668504,9.693324941104047
41.348314606741575,-17.37553772360989,9.445649352752943
42.24719101123596,-17.584923521590813,9.220143016163167
43.146067415730336,-17.786503048472422,8.932977056098576
44.04494382022472,-18.009469676829553,8.714109448090646
44.9438202247191,-18.228684378166815,8.446594721254282
45.842696629213485,-18.462300146448957,8.243238136304285
46.741573033707866,-18.710101264033923,8.026188769584763
47.640449438202246,-18.92038974780546,7.803660352178617
48.53932584269663,-19.161824173520337,7.521413535335748
49.43820224719101,-19.40926326731943,7.294662492215747
50.0,-19.553823234324298,7.124643072420796
50.33707865168539,-19.64455782770466,7.021976849120292
51.235955056179776,-19.873821355404885,6.780158968315606
52.13483146067416,-20.06842037213849,6.522994422076618
53.03370786516854,-20.27955999942638,6.259910530693998
53.93258426966292,-20.475698663263636,6.009588040641252
54.8314606741573,-20.680598006047823,5.766003837998661
55.73033707865169,-20.861314065245523,5.577509264322139
56.62921348314607,-21.062071056956356,5.351826028552709
57.52808988764045,-21.264663847423872,5.159437257448731
58.42696629213483,-21.470160459915576,4.974073138358795
59.32584269662921,-21.624602126803904,4.796118345361389
60.2247191011236,-21.78691392913185,4.623615928889043
61.12359550561798,-21.960674559289515,4.435047794781857
62.02247191011236,-22.131260596088442,4.272780486725731
62.92134831460674,-22.27924506969368,4.145704206146638
63.82022471910112,-22.431057461152907,4.051678522582458
64.71910112359551,-22.582718142258162,3.9712251137171375
65.61797752808988,-22.744872919651108,3.9422148077336363
66.51685393258427,-22.88914080361386,3.8729216881700115
67.41573033707866,-23.023728956929244,3.8160240043558673
68.31460674157303,-23.170402268010413,3.752248202866685
69.21348314606742,-23.310515010549587,3.736325272913936
70.0,-23.394007085218643,3.746821223839712
70.11235955056179,-23.414568651818236,3.7538957119707934
71.01123595505618,-23.56729720050391,3.773915500622042
71.91011235955057,-23.692476470121672,3.8151207263703366
72.80898876404494,-23.842387499172602,3.8988040878039953
73.70786516853933,-23.997501720866723,3.9622630186789856
74.6067415730337,-24.1342361826139,4.048535961263667
75.50561797752809,-24.24589357072444,4.141958812185951
76.40449438202246,-24.357587905615276,4.226285021819233
77.30337078651685,-24.458966855005606,4.344437943356397
78.20224719101124,-24.559649067714865,4.481831369484534
79.10112359550561,-24.64672384448813,4.601040370262089
80.0,-24.725917737604675,4.7200821193428295
80.0,-24.725917737604675,4.7200821193428295
81.25,-24.836028253468616,4.904683135225779
90.0,-25.682935411308097,6.726359987338735
92.5,-25.74708104213962,7.165350136755389
100.0,-25.86201530290203,8.145864810131124
103.75,-25.87795550555815,8.46373627358982
110.0,-25.42778675610502,8.769359642985469
115.0,-24.84163052499696,8.843271965598818
120.0,-24.187866389799346,8.86053045465984
